title,price,postTime,url,id
iPhone X black 64GB,$480.00,(5 miles away),https://offerup.com/item/detail/533733425/,/item/detail/533733425/
title,price,postTime,url,id
IPHONE X 64GB SPRINT UNPAID NO UNLO...,$600.00,(6 miles away),https://offerup.com/item/detail/533713193/,/item/detail/533713193/
title,price,postTime,url,id
Iphone x,$600.00,(9 miles away),https://offerup.com/item/detail/533602206/,/item/detail/533602206/
title,price,postTime,url,id
Iphone X,$600.00,(14 miles away),https://offerup.com/item/detail/533570186/,/item/detail/533570186/
title,price,postTime,url,id
Like New iPhone 7 Plus matte black ...,$450.00,(32 miles away),https://offerup.com/item/detail/533523150/,/item/detail/533523150/
title,price,postTime,url,id
iPhone X,SOLD,(30 miles away),https://offerup.com/item/detail/533467864/,/item/detail/533467864/
title,price,postTime,url,id
iPhone X,$450.00,(8 miles away),https://offerup.com/item/detail/533457087/,/item/detail/533457087/
title,price,postTime,url,id
IPhone X,$400.00,(10 miles away),https://offerup.com/item/detail/533405301/,/item/detail/533405301/
title,price,postTime,url,id
IPhone X,$600.00,(16 miles away),https://offerup.com/item/detail/533395689/,/item/detail/533395689/
title,price,postTime,url,id
iphone X bran new,$450.00,(17 miles away),https://offerup.com/item/detail/533333323/,/item/detail/533333323/
title,price,postTime,url,id
iPhone X,$575.00,(13 miles away),https://offerup.com/item/detail/533298745/,/item/detail/533298745/
